IP(A),EA(A),IP(B),EA(B),H(A),L(A),H(B),L(B),r_s(A),r_p(A),r_d(A),r_s(B),r_p(B),r_d(B),dE
-5.329,-0.698,-19.404,-4.273,-2.874,-0.978,-11.294,1.251,1.652,1.995,6.93,0.406,0.371,1.428,-0.059
-5.329,-0.698,-13.902,-3.971,-2.874,-0.978,-8.7,0.574,1.652,1.995,6.93,0.679,0.756,1.666,-0.038
-5.329,-0.698,-12.65,-3.739,-2.874,-0.978,-8.001,0.708,1.652,1.995,6.93,0.749,0.882,1.869,-0.033
-5.329,-0.698,-11.257,-3.513,-2.874,-0.978,-7.236,0.213,1.652,1.995,6.93,0.896,1.071,1.722,-0.022
-9.459,0.631,-16.433,-3.006,-5.6,-2.098,-9.197,2.541,1.078,1.211,2.877,0.462,0.427,2.219,0.43
-9.459,0.631,-11.795,-2.845,-5.6,-2.098,-7.106,0.642,1.078,1.211,2.877,0.742,0.847,2.366,0.506
-9.459,0.631,-10.946,-2.751,-5.6,-2.098,-6.654,1.316,1.078,1.211,2.877,0.798,0.952,2.177,0.495
-9.459,0.631,-9.867,-2.666,-5.6,-2.098,-6.109,0.099,1.078,1.211,2.877,0.945,1.141,1.827,0.466
-8.19,-0.107,-13.585,-1.867,-3.715,2.248,-7.239,3.057,0.805,0.826,1.946,0.539,0.511,1.54,1.713
-8.19,-0.107,-9.751,-1.92,-3.715,2.248,-5.596,0.183,0.805,0.826,1.946,0.826,0.966,1.771,1.02
-8.19,-0.107,-9.262,-1.839,-3.715,2.248,-5.341,0.064,0.805,0.826,1.946,0.847,1.043,2.023,0.879
-10.852,-0.872,-10.852,-0.872,-5.416,1.992,-5.416,1.992,0.644,0.63,1.631,0.644,0.63,1.631,2.638
-5.223,-0.716,-19.404,-4.273,-2.819,-0.718,-11.294,1.251,1.715,2.597,6.566,0.406,0.371,1.428,-0.146
-5.223,-0.716,-13.902,-3.971,-2.819,-0.718,-8.7,0.574,1.715,2.597,6.566,0.679,0.756,1.666,-0.133
-5.223,-0.716,-12.65,-3.739,-2.819,-0.718,-8.001,0.708,1.715,2.597,6.566,0.749,0.882,1.869,-0.127
-5.223,-0.716,-11.257,-3.513,-2.819,-0.718,-7.236,0.213,1.715,2.597,6.566,0.896,1.071,1.722,-0.115
-8.037,0.693,-16.433,-3.006,-4.782,-1.358,-9.197,2.541,1.33,1.897,3.171,0.462,0.427,2.219,-0.178
-8.037,0.693,-11.795,-2.845,-4.782,-1.358,-7.106,0.642,1.33,1.897,3.171,0.742,0.847,2.366,-0.087
